Fold,Seed,Tier,Classifier,BP_Noise_mmHg,Missing_Rate_Target,Actual_Missing_Rate,Temp_Bias_Low,Temp_Bias_High,Accuracy,Macro F1,High Risk Recall,Brier Score
3,11,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1626,-1.0,-0.3,0.6157635467980296,0.5897500499211382,0.6851851851851852,0.5204600015040712
3,11,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1626,-1.0,-0.3,0.6502463054187192,0.6548415885765283,0.7777777777777778,0.5303391647689331
3,22,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1806,-1.0,-0.3,0.5862068965517241,0.571895709801186,0.5555555555555556,0.56688516704435
3,22,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1806,-1.0,-0.3,0.6847290640394089,0.6874148399004105,0.7962962962962963,0.41761372359481275
3,22,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1806,-1.0,-0.3,0.6305418719211823,0.6044012670591127,0.6851851851851852,0.5301211332837569
3,22,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1806,-1.0,-0.3,0.6847290640394089,0.6848262032085563,0.7222222222222222,0.4721127338536346
3,33,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1708,-1.0,-0.3,0.541871921182266,0.5260723799026361,0.5185185185185185,0.570725115438316
3,33,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1708,-1.0,-0.3,0.6600985221674877,0.6552870399551773,0.7592592592592593,0.4426577942360957
3,33,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1708,-1.0,-0.3,0.5812807881773399,0.5568003620516953,0.6481481481481481,0.5442496139544087
3,33,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1708,-1.0,-0.3,0.6847290640394089,0.6905038515710878,0.7592592592592593,0.5263033707424107
3,44,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1765,-1.0,-0.3,0.5566502463054187,0.536134336677815,0.5370370370370371,0.5815508617631383
3,44,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1765,-1.0,-0.3,0.7093596059113301,0.7080019699147394,0.8148148148148148,0.41427090231612695
3,44,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1765,-1.0,-0.3,0.6009852216748769,0.5687833431167585,0.6851851851851852,0.5403475546481626
3,44,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1765,-1.0,-0.3,0.6847290640394089,0.689684800795912,0.7407407407407407,0.48168625855750924
3,55,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1634,-1.0,-0.3,0.5369458128078818,0.5084788205605746,0.42592592592592593,0.5773232455559979
